Movie Title,Release Date,Wikipedia URL,Genre,Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue,profit,director,return on investment,year
Entourage,27-05-2015,https://en.wikipedia.org/wiki/Entourage_(film),Comedy,Adrian Grenier,Kevin Connolly,Kevin Dillon,Jerry Ferrara,Jeremy Piven,39000000,49300000,10300000,Doug Ellin,26.41%,2015
Epic,24-05-2013,https://en.wikipedia.org/wiki/Epic_(2013_film),Adventure,Colin Farrell,Josh Hutcherson,Amanda Seyfried,Jason Sudeikis,Christoph Waltz,93000000,268400000,175400000,Chris Wedge,188.60%,2013
Escape from Planet Earth,15-02-2013,https://en.wikipedia.org/wiki/Escape_from_Planet_Earth,Comedy,Brendan Fraser,Rob Corddry,Jessica Alba,William Shatner,Sarah Jessica Parker,40000000,74600000,34600000,Cal Brunker,86.50%,2013
Evil Dead,05-04-2013,https://en.wikipedia.org/wiki/Evil_Dead_(2013_film),Horror,Jane Levy,Shiloh Fernandez,Lou Taylor Pucci,Jessica Lucas,Elizabeth Blackmore,17000000,97500000,80500000,Fede Alvarez,473.53%,2013
Ex Machina,21-01-2015,https://en.wikipedia.org/wiki/Ex_Machina_(film),Sci-Fi,Domhnall Gleeson,Oscar Isaac,Alicia Vikander,unknown,unknown,15000000,36900000,21900000,Alex Garland,146.00%,2015
Eye in the Sky,11-09-2015,https://en.wikipedia.org/wiki/Eye_in_the_Sky_(2015_film),Thriller,Helen Mirren,Aaron Paul,Alan Rickman,Barkhad Abdi,unknown,13000000,32800000,19800000,Gavin Hood,152.31%,2015
Fantastic Four,04-08-2015,https://en.wikipedia.org/wiki/Fantastic_Four_(2015_film),Action,Miles Teller,Michael B. Jordan,Kate Mara,Jamie Bell,Toby Kebbell,120000000,168000000,48000000,Josh Trank,40.00%,2015
Fast & Furious 6,17-05-2013,https://en.wikipedia.org/wiki/Fast_%2526_Furious_6,Action,Vin Diesel,Dwayne Johnson,Paul Walker,Michelle Rodriguez,Jordana Brewster,160000000,788700000,628700000,Justin Lin,392.94%,2013
Flight,02-11-2012,https://en.wikipedia.org/wiki/Flight_(2012_film),Drama,Denzel Washington,Brian Geraghty,Nadine Velazquez,Bruce Greenwood,John Goodman,31000000,161800000,130800000,Robert Zemeckis,421.94%,2012
Florence Foster Jenkins,27-04-2016,https://en.wikipedia.org/wiki/Florence_Foster_Jenkins_(film),Biography,Meryl Streep,Hugh Grant,Simon Helberg,Nina Arianda,Rebecca Ferguson,19000000,31700000,12700000,Stephen Frears,66.84%,2016
Frances Ha,17-05-2013,https://en.wikipedia.org/wiki/Frances_Ha,Drama,Greta Gerwig,Charlotte d'Amboise,Adam Driver,Grace Gummer,Patrick Heusinger,3000000,11300000,8300000,Noah Baumbach,276.67%,2013
Free State of Jones,16-06-2016,https://en.wikipedia.org/wiki/Free_State_of_Jones_(film),Drama,Matthew McConaughey,Gugu Mbatha-Raw,Keri Russell,Mahershala Ali,unknown,50000000,21200000,-28800000,Gary Ross,-57.60%,2016
Friends with Kids,09-03-2012,https://en.wikipedia.org/wiki/Friends_with_Kids,Comedy,Adam Scott,Jennifer Westfeldt,Jon Hamm,Kristen Wiig,Maya Rudolph,10000000,12200000,2200000,Jennifer Westfeldt,22.00%,2012
